,iso_code,year,attr,data,count
0,AFG,121,57,868,1770
1,OWID_AFR,121,123,4815,5809
2,ALB,121,65,1364,3061
3,DZA,121,118,3062,6230
4,ARG,122,125,5308,6805
5,AUS,122,124,4670,6746
6,AUT,122,124,4580,6763
7,BGD,122,119,2576,5484
8,BEL,122,124,4779,6435
9,BTN,41,55,432,1311
10,BIH,30,57,674,1304
11,BWA,121,63,760,1966
12,BRA,122,125,5221,6790
13,BGR,122,120,4494,6567
14,BDI,122,57,554,1757
15,CAN,122,125,6030,6915
16,CHL,122,119,4305,6368
17,CHN,122,122,4909,6681
18,COL,121,124,4295,6510
19,HRV,32,119,2382,3557
20,CZE,57,112,3816,5319
21,COD,121,57,938,1798
22,DNK,122,119,3752,6476
23,EGY,122,118,3486,6179
24,SWZ,121,57,872,1758
25,ETH,41,63,635,1576
26,OWID_EUR,122,123,5975,6423
27,FRA,122,125,5861,6844
28,GEO,30,65,714,1496
29,DEU,122,125,6075,6970
30,GRC,122,119,3851,6514
31,GRL,76,55,435,1433
32,HUN,122,120,4755,6634
33,IND,122,122,5368,6760
34,IDN,121,121,4491,6660
35,IRN,121,120,3740,5986
36,IRL,122,118,3453,6154
37,ITA,122,125,5500,6925
38,JPN,122,120,5876,6733
39,KAZ,37,117,2636,3984
40,KGZ,29,65,806,1453
41,LAO,41,57,636,1389
42,MDG,121,57,675,1713
43,MWI,41,57,670,1386
44,MYS,121,118,3772,6462
45,MEX,122,125,5538,6861
46,MDA,30,57,631,1287
47,MNG,122,64,1078,2330
48,MNE,17,63,371,986
49,MAR,121,118,3305,6202
50,MOZ,121,64,1050,2011
51,MMR,121,65,1638,2652
52,NPL,121,63,730,1956
53,NLD,122,125,4972,6809
54,NZL,121,111,3959,5518
55,NER,121,64,662,1964
56,NGA,121,65,1668,2652
57,PRK,121,57,984,1758
58,MKD,32,111,1781,3338
59,NOR,122,119,3905,6542
60,PAK,122,120,4143,6308
61,PER,122,119,4133,6455
62,PHL,122,111,3517,5483
63,POL,122,124,4826,6868
64,PRT,122,122,4108,6083
65,ROU,122,120,4743,6681
66,RUS,37,120,3458,4122
67,SRB,32,65,1138,1898
68,SVK,57,120,3821,5408
69,SVN,32,120,2624,3580
70,ZAF,122,120,4096,5971
71,KOR,122,117,4279,5836
72,ESP,122,125,5705,6912
73,SWE,122,124,4824,6419
74,TWN,122,112,4401,5734
75,TJK,30,65,814,1499
76,TZA,121,57,921,1764
77,THA,122,124,3870,6562
78,TUN,122,65,1247,2606
79,TUR,122,119,4506,6610
80,UKR,117,120,3396,4478
81,GBR,122,125,5449,6898
82,USA,122,125,6456,6955
83,UZB,36,117,2077,3805
84,VEN,121,118,3093,5849
85,VNM,122,119,3363,5951
86,OWID_WRL,122,123,6279,6764
87,ZMB,121,63,971,1970
88,ZWE,121,63,1268,2052
89,ASM,41,54,185,1275
90,AGO,121,64,1086,2289
91,ATG,41,54,248,1275
92,ARM,30,62,612,1428
93,ABW,35,54,306,1227
94,AZE,37,118,1971,3800
95,BHS,41,54,266,1275
96,BHR,121,64,1135,2319
97,BRB,41,56,365,1353
98,BLR,37,118,1823,3729
99,BLZ,41,54,471,1275
100,BEN,41,63,456,1594
101,BMU,40,8,190,308
102,BOL,122,64,1388,2429
103,VGB,41,54,202,1275
104,BRN,121,62,1069,2241
105,BFA,41,56,524,1353
106,KHM,41,62,629,1573
107,CMR,121,64,828,1973
108,CPV,41,56,441,1353
109,CYM,41,54,266,1275
110,CAF,41,56,339,1353
111,TCD,41,60,421,1425
112,COM,41,56,284,1353
113,COG,121,64,1012,2018
114,COK,41,54,193,1275
115,CRI,42,56,825,1400
116,CIV,121,64,938,1980
117,CUB,121,64,1202,2077
118,CYP,57,114,1350,5240
119,DJI,41,56,325,1353
120,DMA,41,56,355,1353
121,DOM,41,62,813,1573
122,ECU,122,117,2933,5968
123,SLV,42,62,891,1620
124,GNQ,41,60,536,1467
125,ERI,27,60,212,1299
126,EST,37,116,1970,3874
127,FRO,41,54,385,1275
128,FLK,41,54,178,1275
129,FJI,41,54,494,1275
130,FIN,57,122,3960,5665
131,GUF,41,54,408,1275
132,PYF,41,54,385,1275
133,GAB,121,64,953,2038
134,GMB,41,56,305,1353
135,GHA,121,64,977,1959
136,GRD,41,54,227,1275
137,GLP,41,54,539,1275
138,GUM,41,54,283,1275
139,GTM,121,63,1202,1993
140,GIN,41,56,473,1353
141,GNB,41,56,282,1353
142,GUY,41,54,383,1275
143,HTI,41,62,441,1573
144,HND,41,62,725,1573
145,HKG,56,109,1602,4792
146,ISL,56,114,2367,5359
147,IRQ,121,115,2591,5840
148,ISR,121,118,2542,5796
149,JAM,41,62,704,1573
150,JOR,41,64,899,1622
151,KEN,42,62,834,1620
152,KIR,41,54,181,1275
153,KWT,121,116,1822,5684
154,LVA,37,116,2064,3906
155,LBN,41,62,726,1573
156,LSO,41,56,356,1353
157,LBR,41,56,316,1353
158,LBY,121,64,1105,2296
159,LTU,37,118,2557,3946
160,LUX,57,110,2899,5264
161,MAC,41,54,337,1275
162,MDV,41,54,241,1275
163,MLI,41,56,607,1353
164,MLT,42,62,553,2060
165,MTQ,41,54,284,1275
166,MRT,41,56,508,1353
167,MUS,41,62,689,1573
168,MSR,41,54,176,1275
169,NAM,31,62,517,1413
170,NRU,41,54,186,1275
171,ANT,20,8,98,154
172,NCL,41,54,487,1275
173,NIC,41,62,764,1573
174,NIU,40,8,124,308
175,MNP,40,7,41,269
176,OMN,121,115,1530,5637
177,PSE,24,56,350,1169
178,PAN,41,62,730,1573
179,PNG,41,54,525,1275
180,PRY,41,62,438,1573
181,PRI,41,56,540,1353
182,QAT,121,115,1827,5673
183,REU,41,54,553,1275
184,RWA,41,56,471,1353
185,SHN,40,8,137,308
186,KNA,41,54,242,1275
187,LCA,41,56,306,1353
188,SPM,41,54,201,1275
189,VCT,41,54,295,1275
190,WSM,41,54,322,1275
191,STP,41,56,339,1353
192,SAU,57,112,1883,5336
193,SEN,42,63,744,1643
194,SYC,41,56,345,1353
195,SLE,41,56,424,1353
196,SGP,57,114,1765,5109
197,SLB,41,54,201,1275
198,SOM,41,54,256,1275
199,SSD,10,58,106,505
200,LKA,56,109,2125,4913
201,SDN,41,61,748,1535
202,SUR,121,61,591,1846
203,CHE,57,111,3755,5115
204,SYR,53,64,1177,1783
205,TLS,17,8,84,124
206,TGO,41,62,468,1573
207,TON,41,54,212,1275
208,TTO,56,115,2083,5286
209,TKM,36,116,1437,3719
210,TCA,41,54,170,1260
211,UGA,41,56,614,1353
212,ARE,56,117,1940,5365
213,VIR,41,54,281,1275
214,URY,41,62,765,1573
215,VUT,41,54,235,1275
216,ESH,40,8,132,308
217,YEM,51,64,655,1692
218,OWID_EU27,57,108,4705,5132
219,FSM,40,5,118,178
220,TUV,40,4,41,159
221,OWID_KOS,1,33,20,33
